id,subcategory_no,num_eng,total_seats,afm_hrs,cert_max_gr_wt,dprt_time,power_units,flight_hours_mean,certs_held,second_pilot,site_seeing,air_medical,crew_sex,type_last_insp_100H,type_last_insp_AAIP,type_last_insp_ANNL,type_last_insp_COAW,type_last_insp_COND,type_last_insp_UNK,_AAPL,_AOBV,_BUS ,_FLTS,_INST,_OWRK,_Other,_PERS,_POSI,_UNK,eng_mfgr_CONTINENTAL,eng_mfgr_LYCOMING,eng_mfgr_P&W,eng_mfgr_ROTAX,eng_mfgr_infrequent_sklearn,far_part_091,far_part_infrequent_sklearn,acft_make_BEECH,acft_make_CESSNA,acft_make_PIPER,acft_make_infrequent_sklearn,fixed_retractable_RETR,acft_category_AIR,acft_category_infrequent_sklearn,homebuilt,crew_category_DSTU,crew_category_FLTI,crew_category_PLT,eng_type_REC,eng_type_infrequent_sklearn,carb_fuel_injection_CARB,carb_fuel_injection_FINJ,carb_fuel_injection_UNK,dprt_apt_id,dest_apt_id,flt_plan_filed_IFR,flt_plan_filed_NONE,flt_plan_filed_VFR,pc_profession
20080418X005181,6,1,4,4194,2300,2300,210,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,1.0,0.0,0
20080305X002721,5,1,2,2391,1764,2315,125,884.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,0.0,0
20080306X002741,6,1,2,1,1500,1630,150,700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,0.0,0
20080320X003431,6,1,2,1389,2450,1341,145,217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0.0,1.0,0.0,0
20080310X002891,6,1,2,45,950,1630,65,190.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0
20080409X004421,4,1,4,3227,2450,1630,190,12000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,0.0,0
20080403X004211,6,1,4,4249,2575,1350,180,4755.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0
20080317X003201,5,1,4,9410,4400,1630,450,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0.0,1.0,0.0,0
20080317X003191,2,1,2,700,1500,1400,160,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,1.0,0.0,0
20080321X003521,7,1,4,501,3400,1915,310,1246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,1.0,0.0,0
20080414X004721,4,2,4,5210,3916,2023,180,275.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0.0,1.0,0.0,1
20080321X003571,6,2,2,16547,7000,1445,350,1254.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,0.0,0.0,1
