id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140610X827531,091,NONE,OFFCHISS EDWARD R,AVID FLYER,2.0,1.0,FIXD,,AIR,Y,COND,,527.0,Y,,,Y,PERS,N,KLWD,2330.0,KLWD,N,N,300.0,DSTU,,No,N,,3,1,REC,BOMBARDIER/Rotax,582,65.0,HP,CARB,,6
20150608X309361,091,NONE,KRETSINGER,BENSEN B8M,1.0,1.0,FIXD,540.0,GYRO,Y,ANNL,,120.0,N,,,Y,PERS,N,MN69,2130.0,MN69,N,N,3000.0,PLT,,No,N,,L,1,REC,VOLKSWAGEN,1675,65.0,HP,CARB,FIXP,6
20131209X219331,091,NONE,THOMPSON WILLIAM A,SPARROW II,2.0,1.0,FIXD,1050.0,AIR,Y,UNK,,,,,,Y,PERS,N,PVT ,1730.0,PVT ,N,N,300.0,PLT,,No,N,,,1,REC,BOMBARDIER,ROTAX 582UL,65.0,HP,CARB,GRND,6
20170501X459061,091,VFR,NORTH WING UUM INC,SPORT X2-N,2.0,1.0,FIXD,1060.0,WSFT,N,ANNL,,652.0,N,,,Y,INST,Y,BVU ,1255.0,BVU ,N,N,212.5,FLTI,M,Yes,N,,3,1,REC,Rotax,582 UL,65.0,HP,CARB,GRND,6
20160613X651331,091,NONE,CHAMPION,AERONCA 7AC,2.0,1.0,FIXD,1220.0,AIR,N,ANNL,,4929.31982421875,Y,C91A,,Y,PERS,N,O22 ,2010.0,E45 ,N,N,369.0,PLT,F,No,N,NONE,L,1,REC,Continental,A-65-8F,65.0,HP,CARB,FIXP,6
20100602X242341,091,NONE,MOE-PIETENPOL,AIRCAMPER A,2.0,1.0,FIXD,,AIR,Y,,,,,,,Y,PERS,,F23 ,,10SX,N,N,2364.0,PLT,,,N,,,1,REC,CONT MOTOR,A-65-8,65.0,HP,,,4
20121002X145131,091,NONE,BARCHE,DESTINY XLT,2.0,1.0,FIXD,1000.0,PPAR,N,ANNL,,220.0,N,,,Y,PERS,N,,2230.0,,N,N,225.0,PLT,M,No,N,,,1,REC,ROTAX,582UL DCDI,65.0,HP,CARB,,4
20100928X112251,091,NONE,CENTRAL OHIO DRAGONFLY CLUBLLC,DRAGONFLY-C,2.0,1.0,FIXD,990.0,AIR,N,ANNL,,251.0,Y,UNK,,Y,PERS,N,PVT ,1730.0,PVT ,N,N,258.0,PLT,M,UNK,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,6
20111006X332381,091,NONE,LOEHLE AIRCRAFT CORP,LOEHLE P-40,1.0,1.0,FIXD,1045.0,AIR,N,COND,,260.0,Y,UNK,,Y,PERS,N,THA ,2215.0,THA ,N,N,4350.0,PLT,M,No,N,,,1,REC,Rotax,582UL,65.0,HP,CARB,,4
20090828X044551,091,NONE,SILVAIRE,LUSCOMBE 8A,2.0,1.0,FIXD,1260.0,AIR,N,ANNL,21.0,2857.0,Y,UNK,,Y,PERS,N,7S9 ,1850.0,03S ,N,N,478.0,PLT,M,No,N,,,1,REC,Continental,A65-8,65.0,HP,CARB,,4
